,0
1,34631
2,35695
3,37119
4,37459
5,37803
6,38055
7,38690
8,38866
9,39370
10,39915
11,40106
12,40468
13,40662
14,40768
15,41697
16,42321
17,42537
18,42818
19,42570
20,43337
21,44563
22,44966
23,45509
24,45762
25,46004
26,46995
27,48052
28,48427
29,49092
30,49325
31,49564
32,49867
33,50041
34,50246
35,50340
36,50872
37,51323
38,52955
39,53123
40,52882
41,54130
42,54594
43,54426
44,54591
45,55122
46,55212
47,54388
48,55322
49,55761
50,56552
51,56137
52,57137
53,56858
54,56991
55,57508
56,57625
57,58276
58,58634
59,59620
60,59615
61,60298
62,60664
63,60591
64,60474
65,61013
66,61452
67,61270
68,62193
69,63061
70,61954
71,63504
72,63811
73,63514
74,64597
75,64838
76,64896
77,65695
78,65858
79,64805
80,66207
81,65943
82,67479
83,66628
84,67532
85,67455
86,65256
87,68675
88,68515
89,68346
90,68337
91,69083
92,69067
93,68514
94,68533
95,68575
96,67850
97,67445
98,67108
99,66340
100,66734
101,66248
102,67036
103,69730
104,69815
105,70406
106,70866
107,70507
108,65911
109,70286
110,68938
111,68678
112,68863
113,68625
114,68739
115,68874
116,65835
117,68800
118,69805
119,69579
120,69670
121,70274
122,70245
123,71279
124,71503
125,71684
126,72011
127,70508
128,71759
129,70161
130,72469
131,71346
132,72251
133,72567
134,72612
135,70229
136,73003
137,73355
138,73494
139,73484
140,73033
141,73522
142,72979
143,73930
144,73688
145,74364
146,73808
147,73288
148,74112
149,75706
150,75872
151,76043
152,76320
153,76161
154,73699
155,74339
156,74411
157,73765
158,74334
159,73223
160,73121
161,73034
162,73363
163,73014
164,72483
165,72151
166,71914
167,72019
168,71645
169,71683
170,71272
171,68153
172,64934
173,71273
174,72081
175,72335
176,72367
177,72692
178,72055
179,72072
180,71359
181,70235
182,70739
183,69529
184,70592
185,70940
186,71229
187,71964
188,72058
189,71836
190,72722
191,72902
192,72883
193,72929
194,72891
195,73104
196,73000
197,72861
198,72829
199,74190
200,73875
201,73287
202,73213
203,74004
204,73422
205,73521
206,73698
207,73866
208,73740
209,73515
