Type,Gene,Strand,Start,End
tRNA,TRNF,+,1,71
rRNA,RNR1,+,72,1025
tRNA,TNRV,+,1026,1094
rRNA,RNR2,+,1095,2652
tRNA,TRNL1,+,2653,2727
mRNA,ND1,+,2730,3685
tRNA,TRNI,+,3686,3754
tRNA,TRNQ,-,3755,3823
tRNA,tRNM,+,3824,3892
mRNA,ND2,+,3893,4934
tRNA,TRNW,+,4935,5002
tRNA,TNRA,-,5003,5078
tRNA,TRNN,-,5079,5152
tRNA,TRNC,-,5184,5249
tRNA,TRNY,-,5250,5323
mRNA,COX1,+,5327,6868
tRNA,TRNS1,-,6869,6937
tRNA,TNRD,+,6938,7008
mRNA,COX2,+,7009,7692
tRNA,TNRK,+,7718,7788
mRNA,ATP68,+,7789,8630
mRNA,COX3,+,8630,9413
tRNA,TRNG,+,9414,9481
mRNA,ND3,+,9482,9827
tRNA,TRNR,+,9828,9892
mRNA,ND4L/4,+,9893,11560
tRNA,TRNH,+,11561,11692
tRNA,TRNS2,+,11630,11688
tRNA,TRNL2,+,11689,11759
mRNA,ND5,+,11760,13571
mRNA,ND6,-,13572,14096
tRNA,TRNE,-,14097,14169
mRNA,CYTB,+,14170,15310
tRNA,TRNT,+,15311,15376
tRNA,TRNP,-,15377,15446
NC,NC,+,15447,16568
