,0
1,5603
2,5736
3,5803
4,5981
5,6097
6,6171
7,6269
8,6346
9,6398
10,6702
11,6792
12,6834
13,6896
14,6946
15,7008
16,7085
17,7212
18,7253
19,7270
20,7313
21,7430
22,7464
23,7502
24,7564
25,7469
26,7673
27,7681
28,7734
29,7760
30,7763
31,7796
32,7783
33,8065
34,8134
35,8197
36,8340
37,8364
38,8431
39,8372
40,8395
41,8500
42,8612
43,8650
44,8648
45,8770
46,8841
47,8920
48,8903
49,8971
50,8899
51,9001
52,9312
53,9348
54,9387
55,9389
56,9531
57,9550
58,9646
59,9652
60,9651
61,9638
62,9701
63,9717
64,9856
65,10047
66,10613
67,11050
68,11124
69,11270
70,11307
71,11308
72,11136
73,11128
74,11489
75,11729
76,11767
77,11836
78,12074
79,12113
80,12173
81,12221
82,12268
83,12258
84,12253
85,12383
86,12422
87,12440
88,12397
89,12449
90,12498
91,12492
92,12551
93,12466
94,12468
95,12185
96,12519
97,12505
98,12522
99,12501
100,12515
101,12536
102,12492
103,12510
104,12486
105,12543
106,12536
107,12558
108,12431
109,12431
110,12451
111,12447
112,12518
113,12542
114,12527
115,12458
116,12467
117,12363
118,12414
119,12392
120,12404
121,12375
122,12367
123,12258
124,12234
125,12226
126,12179
127,12208
128,12198
129,12105
130,12153
131,12054
132,12140
133,12030
134,12099
135,11737
136,11584
137,11430
138,11316
139,11276
140,11125
141,10946
142,10537
143,10391
144,10219
145,10237
146,9884
147,9717
148,9727
149,9734
150,9744
151,9842
152,9805
153,9884
154,9810
155,9885
156,9831
157,9766
158,9756
159,9498
160,9511
161,9386
162,9293
163,9198
164,9253
165,9159
166,9267
167,9248
168,9187
169,9098
170,9109
171,9093
172,9074
173,9169
174,9140
175,9141
176,9045
177,8909
178,8953
179,8924
180,8905
181,8807
182,8860
183,8928
184,9133
185,9366
186,9331
187,9396
188,9421
189,9383
190,9384
191,9352
192,9299
193,9145
194,9153
195,9127
196,8988
197,8913
198,8910
199,8875
200,8967
201,8995
202,9052
203,9055
204,9056
205,9087
206,9114
207,9091
208,9080
209,9227
210,9115
211,9338
212,9347
213,9409
214,9462
215,9543
216,9523
217,9563
218,9659
219,10111
220,10252
221,10377
222,10383
223,11487
224,11579
225,11706
226,11951
227,12696
228,13366
229,13655
230,14138
231,15129
232,15545
233,16207
234,17112
235,17576
236,18196
237,19224
238,19721
239,20074
240,21362
241,21808
242,21773
243,22413
244,22658
245,22539
246,22640
247,22503
248,22636
249,22833
250,22707
251,22635
252,22714
253,22498
254,22513
255,22365
256,22424
257,22508
258,22685
259,23563
260,24956
261,25096
262,25072
263,24891
264,27813
265,27852
266,29679
267,30444
268,30376
269,30383
270,30402
271,30446
272,30333
273,30379
274,30498
275,30275
276,30340
277,29794
278,30100
279,30169
280,29899
281,30183
282,30005
283,30179
284,30167
285,29850
286,28935
287,30239
288,30097
289,30160
290,29976
291,29810
292,29940
293,29890
294,29803
295,28793
296,28931
297,28159
298,29103
299,28610
300,27980
301,27866
302,26856
303,28725
304,28677
305,28319
306,28309
307,28214
308,27779
309,26707
310,25889
311,25647
312,25958
313,26278
314,26738
315,27080
316,26849
317,27214
318,26502
319,26872
320,26759
321,26895
322,26967
323,27903
324,27665
325,28141
326,27677
327,28469
328,28399
329,28149
330,28657
331,28598
332,29269
333,29198
334,29591
335,29803
336,30015
337,29870
338,29885
339,30013
340,29883
341,30003
342,28940
343,29815
344,29936
345,29916
346,29813
347,29753
348,29721
349,29758
350,29692
351,29707
352,29895
353,30355
354,30809
355,30657
356,31693
357,31767
358,32166
359,32145
360,32612
361,32563
362,32382
363,32465
364,32378
365,32120
366,31493
367,31896
368,31757
369,31882
370,31659
371,30963
372,29615
373,29784
374,29470
375,29528
376,28758
377,29041
378,28778
379,27757
380,27411
381,27753
382,27401
383,26620
384,26931
385,26460
386,26814
387,26619
388,26312
389,25892
390,26072
391,25737
392,25625
393,25447
394,25190
395,25168
396,24960
397,24688
398,24399
399,24007
400,23748
401,23277
402,23171
403,22717
404,22446
405,22133
406,21932
407,21471
408,21107
409,20859
410,20682
411,20543
412,20346
413,20223
414,20012
415,19825
416,19705
417,19476
418,19329
419,19188
420,19073
421,18914
422,18770
423,18623
424,18478
425,18286
426,18224
427,18096
428,17913
429,17819
430,17669
431,17522
432,17341
433,17214
434,17083
435,16956
436,16858
437,16695
438,16543
439,16340
440,16223
441,16132
442,15934
443,15861
444,15705
445,15552
446,15408
447,15362
448,15194
449,15027
450,14880
451,14717
452,14543
453,14363
454,14197
455,13983
456,13656
457,13542
458,13191
459,12955
460,12685
461,12482
462,12285
463,12068
464,11815
465,11655
466,11394
